Ligand,Binding Affinity,rmsd/ub, rmsd/lb
3o96_cleaned_5280666_uff_E=324.01_uff_E=323.93,-9.7,0.0,0.0
3o96_cleaned_5280666_uff_E=324.01_uff_E=323.93,-9.5,2.063,0.962
3o96_cleaned_5280666_uff_E=324.01_uff_E=323.93,-9.5,7.109,1.38
3o96_cleaned_5280666_uff_E=324.01_uff_E=323.93,-9.3,6.514,2.852
3o96_cleaned_5280666_uff_E=324.01_uff_E=323.93,-9.2,6.943,2.287
3o96_cleaned_5280666_uff_E=324.01_uff_E=323.93,-9.2,7.556,1.372
3o96_cleaned_5280666_uff_E=324.01_uff_E=323.93,-9.2,7.075,2.348
3o96_cleaned_5280666_uff_E=324.01_uff_E=323.93,-9.2,6.482,2.239
3o96_cleaned_5280666_uff_E=324.01_uff_E=323.93,-9.1,4.496,2.765
3o96_cleaned_6781_uff_E=284.10,-6.8,0.0,0.0
3o96_cleaned_6781_uff_E=284.10,-6.8,3.737,0.783
3o96_cleaned_6781_uff_E=284.10,-6.7,4.443,1.44
3o96_cleaned_6781_uff_E=284.10,-6.6,2.139,1.402
3o96_cleaned_6781_uff_E=284.10,-6.3,1.923,1.415
3o96_cleaned_6781_uff_E=284.10,-6.3,4.681,2.017
3o96_cleaned_6781_uff_E=284.10,-6.0,5.746,3.552
3o96_cleaned_6781_uff_E=284.10,-6.0,6.311,3.975
3o96_cleaned_6781_uff_E=284.10,-5.9,4.212,2.615
